"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@SpirosMargaris According to the emails I get their Prince does their banking for them in the West. He offers nice commissions, too!",FALSE,0,"SpirosMargaris",2017-01-08 08:26:25,FALSE,"817913973697892353","818010959511834625","2711212681","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"@JetstarAirways Thanks for a helpful online chat service. I had a problem with your website but Christopher sorted it for me quickly. A+ <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>",FALSE,0,"JetstarAirways",2017-01-05 12:05:19,FALSE,NA,"816978883538866177","19273963","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"#exponential https://t.co/UcRvyDdfi8",FALSE,1,NA,2017-01-01 01:14:46,FALSE,NA,"815365615397445632",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"Over half a trillion dollars in revenue across just 5 companies. Wow. https://t.co/wsCHS4nW56",FALSE,1,NA,2017-01-01 01:06:20,FALSE,NA,"815363495659085824",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"Nanotechnology, 3D bioprinting, gene editing and IoT make a pretty cool combination for the future of medicine and combatting disease",FALSE,1,NA,2016-12-28 21:49:58,FALSE,NA,"814226914747367424",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"Please, Santa, bring me this fridge for Christmas ... #StarWars https://t.co/36rClksYdg",FALSE,4,NA,2016-12-24 06:43:58,FALSE,NA,"812549358541357057",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"@Crashingtv Don't ignore the spellchecker, either.",FALSE,1,"Crashingtv",2016-12-21 22:35:34,FALSE,"811684323158061060","811701676222464001","3094874199","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"Can't recall who said it, so sorry, but it was \"don't develop a #digital strategy, develop a strategy for a digital world\" Awesome #reframe.",FALSE,1,NA,2016-12-21 12:48:36,FALSE,NA,"811553957734584322",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"@mdudas Time will tell I guess, but I think he's totally wrong. Shift to mobile is on and in a big way. High street shop front is dying fast",FALSE,0,"mdudas",2016-12-18 19:30:12,FALSE,"810491265359970304","810567863157202944","7184612","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
"Great mobile #UX booking a service with @Toyota_Aus. It knew me, my car and its history. 3 clicks &amp; done, so easy! @EllisBrover @colebatchd",FALSE,5,NA,2016-12-16 06:17:16,FALSE,NA,"809643539327897600",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","abbruzzd",0,FALSE,FALSE,NA,NA
